00000001/17,201701,ALUMBRADO,REPARACION DE LUMINARIA,REPARACION DE LUMINARIA APAGADA DURANTE LA NOCHE,SOLICITUD,1/1/2017,12:35:14 a.m.,COMUNA 3,SAN CRISTOBAL,SARANDI,1502,,-34.6266616113165,-58.3932559742222,WEB,MASCULINO,CERRADO
00000002/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,1/1/2017,12:39:23 a.m.,COMUNA 1,SAN NICOLAS,ESMERALDA,602,,-34.6011053900233,-58.3782307637672,APP,FEMENINO,CERRADO
00000003/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,1/1/2017,12:40:24 a.m.,COMUNA 1,SAN NICOLAS,ESMERALDA,602,,-34.6011053900233,-58.3782307637672,APP,FEMENINO,CERRADO
00000004/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,1/1/2017,1:16:30 a.m.,COMUNA 13,NUÑEZ,VUELTA DE OBLIGADO,3100,,-34.5523874054859,-58.4641827391939,APP,MASCULINO,CERRADO
00000014/17,201701,ALUMBRADO,REPARACION DE LUMINARIA,REPARACION DE LUMINARIA APAGADA DURANTE LA NOCHE,SOLICITUD,1/1/2017,4:12:20 a.m.,COMUNA 7,PARQUE CHACABUCO,HORTIGUERA,727,,-34.6309671314588,-58.4439521734803,APP,FEMENINO,CERRADO
00000017/17,201701,LIMPIEZA Y RECOLECCION,CESTOS Y CONTENEDORES,INSTALACION/REPARACION DE CONTENEDOR,SOLICITUD,1/1/2017,6:44:46 a.m.,COMUNA 1,MONSERRAT,PERU,501,,-34.6139096004795,-58.374701444517,WEB,MASCULINO,CERRADO
00000018/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,1/1/2017,6:47:54 a.m.,COMUNA 14,PALERMO,CABRERA, JOSE A.,4878,,-34.5908976541911,-58.4310390460439,APP,FEMENINO,CERRADO
00000024/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,1/1/2017,9:17:13 a.m.,COMUNA 15,AGRONOMIA,TRIPOLI,4100,,-34.5890374761209,-58.4953201876733,APP,FEMENINO,CERRADO
00000035/17,201701,LIMPIEZA Y RECOLECCION,RESIDUOS VOLUMINOSOS,RETIRO DE ESCOMBROS / RESTOS DE OBRA,SERVICIO,1/1/2017,10:05:38 a.m.,COMUNA 11,VILLA DEVOTO,EPECUEN,4711,,-34.5906125157862,-58.5097353370497,APP,FEMENINO,CERRADO
00000045/17,201701,CALLES Y VEREDAS,REPARACION DE VEREDA,REPARACION DE VEREDA,SOLICITUD,1/1/2017,10:25:24 a.m.,COMUNA 7,PARQUE CHACABUCO,VIEL,1000,,-34.6288220738578,-58.430597470585,WEB,MASCULINO,ABIERTO
00000051/17,201701,MEDIOS DE TRANSPORTE,BICICLETAS,INCONVENIENTES CON ECOBICIS,QUEJA,1/1/2017,10:38:04 a.m.,COMUNA 15,CHACARITA,GUZMAN,,ARENAL, CONCEPCION,-34.5911620001921,-58.4502280890762,WEB,MASCULINO,CERRADO
00000053/17,201701,MEDIO AMBIENTE Y RECICLADO,OCUPACION INDEBIDA,OCUPACION INDEBIDA DEL ESPACIO PUBLICO POR RECUPERADORES,DENUNCIA,1/1/2017,10:46:19 a.m.,COMUNA 7,PARQUE CHACABUCO,VIEL,1000,,-34.6288220738578,-58.430597470585,WEB,MASCULINO,CERRADO
00000054/17,201701,LIMPIEZA Y RECOLECCION,CESTOS Y CONTENEDORES,INSTALACION/REPARACION DE CONTENEDOR,SOLICITUD,1/1/2017,10:47:39 a.m.,COMUNA 6,CABALLITO,FORMOSA,617,,-34.6220010605469,-58.4369004960381,WEB,MASCULINO,CERRADO
00000065/17,201701,LIMPIEZA Y RECOLECCION,LIMPIEZA DE VIA PUBLICA,MEJORA DE BARRIDO,SOLICITUD,1/1/2017,11:10:12 a.m.,COMUNA 13,NUÑEZ,DEL LIBERTADOR AV.,8342,,-34.5387657236956,-58.4651889297612,APP,MASCULINO,CERRADO
00000073/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,1/1/2017,11:35:41 a.m.,COMUNA 13,NUÑEZ,VUELTA DE OBLIGADO,3200,,-34.5516168130063,-58.4647471311862,APP,MASCULINO,CERRADO
00000074/17,201701,ARBOLADO Y ESPACIOS VERDES,PROBLEMA CON INTERVENCIONES DE ARBOLADO,FALTA DE RECOLECCION DE RESTOS DE PODA DE ARBOLADO PUBLICO,SOLICITUD,1/1/2017,11:36:01 a.m.,COMUNA 6,CABALLITO,NEUQUEN,725,,-34.615898135664,-58.4413672716601,WEB,MASCULINO,CERRADO
00000075/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,1/1/2017,11:38:14 a.m.,COMUNA 13,NUÑEZ,CUBA,3100,,-34.5519192241665,-58.4632380303417,APP,MASCULINO,CERRADO
00000077/17,201701,TRANSITO,DENUNCIA VIAL,VEHICULO MAL ESTACIONADO,DENUNCIA,1/1/2017,11:40:47 a.m.,COMUNA 13,NUÑEZ,GUAYRA,2200,,-34.5518056980281,-58.4631380271346,APP,MASCULINO,CERRADO
00000728/17,201701,ALUMBRADO,REPARACION DE LUMINARIA,REPARACION DE LUMINARIA APAGADA DURANTE LA NOCHE,SOLICITUD,1/1/2017,10:58:44 p.m.,COMUNA 11,VILLA DEVOTO,GUALEGUAYCHU,4801,,-34.5952688937881,-58.5192271193695,APP,MASCULINO,CERRADO
00000079/17,201701,ALUMBRADO,REPARACION DE EQUIPAMIENTO DE ALUMBRADO,REPARACION DE CABLE DE ALUMBRADO CORTADO / CAIDO,SOLICITUD,1/1/2017,11:41:41 a.m.,COMUNA 7,FLORES,VARELA AV.,1468,,-34.64475552536,-58.4528023263325,WEB,MASCULINO,CERRADO
00000082/17,201701,TRANSITO,VEHICULOS ABANDONADOS,REMOCION DE VEHICULO / AUTO ABANDONADO,SOLICITUD,1/1/2017,11:45:47 a.m.,COMUNA 11,VILLA DEL PARQUE,GONZALEZ, AGUSTIN, ING.,2280,,-34.6009125846874,-58.478694283143,WEB,FEMENINO,CERRADO
00000083/17,201701,ORDENAMIENTO DEL ESPACIO PUBLICO,OCUPACION INDEBIDA,OCUPACION INDEBIDA POR LOCAL COMERCIAL,DENUNCIA,1/1/2017,11:48:41 a.m.,COMUNA 5,ALMAGRO,GALLO,902,,-34.599134014236,-58.4121604131794,WEB,MASCULINO,ABIERTO
00000085/17,201701,CALLES Y VEREDAS,REPARACION DE VEREDA,REPARACION DE VEREDA,SOLICITUD,1/1/2017,11:51:40 a.m.,COMUNA 8,VILLA LUGANO,LARRAZABAL,2832,,-34.6655904783186,-58.485995169047,APP,MASCULINO,ABIERTO
